,date,open,close,high,low,volume,code
200,2013-11-08,2329.08,2307.95,2342.67,2306.04,53788508.0,hs300
201,2013-11-11,2305.94,2315.89,2325.23,2295.0,45739457.0,hs300
202,2013-11-12,2319.36,2340.0,2342.53,2316.6,52687545.0,hs300
203,2013-11-13,2325.36,2288.12,2325.56,2287.55,59848831.0,hs300
204,2013-11-14,2291.27,2304.5,2305.7,2279.01,57310356.0,hs300
205,2013-11-15,2306.55,2350.73,2377.21,2306.55,86391771.0,hs300
206,2013-11-18,2367.88,2428.9,2429.57,2361.04,110034633.0,hs300
207,2013-11-19,2427.93,2412.16,2427.93,2405.08,78648296.0,hs300
208,2013-11-20,2428.77,2424.85,2435.43,2406.42,72291801.0,hs300
209,2013-11-21,2412.45,2409.99,2415.38,2382.88,87706677.0,hs300
210,2013-11-22,2415.29,2397.96,2419.0,2393.58,75000675.0,hs300
211,2013-11-25,2385.78,2388.63,2418.85,2380.69,66144734.0,hs300
212,2013-11-26,2387.83,2387.42,2399.02,2380.41,59185864.0,hs300
213,2013-11-27,2386.36,2414.48,2422.81,2383.78,75294088.0,hs300
214,2013-11-28,2419.15,2439.53,2460.56,2417.24,90660406.0,hs300
215,2013-11-29,2442.68,2438.94,2446.4,2432.39,61803746.0,hs300
216,2013-12-02,2423.97,2418.79,2464.86,2397.01,119655123.0,hs300
217,2013-12-03,2410.69,2442.78,2448.33,2406.66,74455752.0,hs300
218,2013-12-04,2439.82,2475.14,2486.64,2434.69,102650235.0,hs300
219,2013-12-05,2476.45,2468.2,2481.75,2460.58,77708932.0,hs300
220,2013-12-06,2463.04,2452.29,2470.81,2445.62,66114089.0,hs300
221,2013-12-09,2460.03,2450.87,2468.95,2445.94,57164884.0,hs300
222,2013-12-10,2456.23,2453.32,2466.66,2444.53,66941424.0,hs300
223,2013-12-11,2440.5,2412.76,2440.5,2400.74,68075144.0,hs300
224,2013-12-12,2406.77,2410.01,2423.31,2402.77,50147719.0,hs300
225,2013-12-13,2388.66,2406.64,2416.26,2386.25,51501196.0,hs300
226,2013-12-16,2408.68,2367.92,2412.73,2367.43,64581674.0,hs300
227,2013-12-17,2369.25,2356.38,2373.29,2351.18,48483891.0,hs300
228,2013-12-18,2356.7,2357.23,2368.58,2350.45,40015207.0,hs300
229,2013-12-19,2366.21,2332.41,2370.99,2331.19,48095680.0,hs300
230,2013-12-20,2335.05,2278.14,2338.88,2278.1,65204207.0,hs300
231,2013-12-23,2283.8,2284.6,2295.76,2259.57,45580285.0,hs300
232,2013-12-24,2291.12,2288.25,2312.83,2270.25,45599168.0,hs300
233,2013-12-25,2291.75,2305.11,2305.61,2281.6,44005326.0,hs300
234,2013-12-26,2299.97,2265.33,2301.49,2263.92,51497563.0,hs300
235,2013-12-27,2268.53,2303.48,2315.18,2264.39,53389157.0,hs300
236,2013-12-30,2313.38,2299.46,2316.62,2295.64,48414308.0,hs300
237,2013-12-31,2289.01,2330.03,2333.07,2287.12,56631070.0,hs300
238,2014-01-02,2323.43,2321.98,2325.99,2310.65,45194291.0,hs300
239,2014-01-03,2311.97,2290.78,2314.84,2280.89,59782645.0,hs300
240,2014-01-06,2286.37,2238.64,2286.37,2229.33,66300403.0,hs300
241,2014-01-07,2222.31,2238.0,2246.79,2218.65,43753103.0,hs300
242,2014-01-08,2240.64,2241.91,2262.58,2228.42,51348854.0,hs300
243,2014-01-09,2236.97,2222.22,2258.89,2220.8,55987041.0,hs300
244,2014-01-10,2216.52,2204.85,2224.49,2200.22,54169293.0,hs300
245,2014-01-13,2207.0,2193.68,2222.07,2183.6,50122772.0,hs300
246,2014-01-14,2192.84,2212.85,2214.12,2179.91,54049947.0,hs300
247,2014-01-15,2210.02,2208.94,2215.9,2193.8,48962395.0,hs300
248,2014-01-16,2209.45,2211.84,2227.26,2201.56,52298902.0,hs300
249,2014-01-17,2203.82,2178.49,2205.97,2175.88,50273155.0,hs300
250,2014-01-20,2173.65,2165.99,2182.46,2156.46,40560154.0,hs300
251,2014-01-21,2168.42,2187.41,2197.92,2168.42,40306247.0,hs300
252,2014-01-22,2190.43,2243.8,2244.13,2187.53,70641375.0,hs300
253,2014-01-23,2242.25,2231.89,2248.92,2228.06,56345951.0,hs300
254,2014-01-24,2225.76,2245.68,2257.35,2222.89,61167670.0,hs300
255,2014-01-27,2233.01,2215.92,2233.23,2211.8,70344246.0,hs300
256,2014-01-28,2220.78,2219.85,2233.26,2205.97,53269130.0,hs300
257,2014-01-29,2225.71,2227.78,2233.06,2219.93,50222717.0,hs300
258,2014-01-30,2223.16,2202.45,2223.16,2200.22,43632304.0,hs300
259,2014-02-07,2187.34,2212.48,2212.5,2177.12,50459315.0,hs300
260,2014-02-10,2221.54,2267.53,2270.19,2221.54,83065716.0,hs300
261,2014-02-11,2267.74,2285.56,2296.52,2262.6,99229829.0,hs300
262,2014-02-12,2286.19,2291.25,2294.32,2276.44,76592161.0,hs300
263,2014-02-13,2288.45,2279.55,2307.47,2278.26,96217789.0,hs300
264,2014-02-14,2278.4,2295.57,2295.85,2274.43,67082997.0,hs300
265,2014-02-17,2308.79,2311.65,2315.58,2293.55,87831666.0,hs300
266,2014-02-18,2310.31,2282.44,2310.31,2276.11,87049743.0,hs300
267,2014-02-19,2280.93,2308.66,2317.42,2274.15,99352561.0,hs300
268,2014-02-20,2314.09,2287.44,2331.7,2286.2,106439533.0,hs300
269,2014-02-21,2284.03,2264.29,2287.87,2250.65,76368993.0,hs300
270,2014-02-24,2246.72,2214.51,2246.72,2194.16,89215939.0,hs300
271,2014-02-25,2216.51,2157.91,2225.21,2150.09,93237551.0,hs300
272,2014-02-26,2147.74,2163.41,2164.7,2137.08,77993297.0,hs300
273,2014-02-27,2170.81,2154.11,2180.06,2150.14,90104296.0,hs300
274,2014-02-28,2149.45,2178.97,2180.47,2133.55,76668057.0,hs300
275,2014-03-03,2173.91,2190.37,2194.22,2167.91,82072314.0,hs300
276,2014-03-04,2183.86,2184.27,2188.6,2161.59,73069250.0,hs300
277,2014-03-05,2187.35,2163.98,2189.09,2159.59,61332015.0,hs300
278,2014-03-06,2159.4,2173.63,2181.43,2136.45,69093767.0,hs300
279,2014-03-07,2170.04,2168.36,2189.39,2161.44,64265177.0,hs300
280,2014-03-10,2149.68,2097.79,2149.68,2095.07,71416407.0,hs300
281,2014-03-11,2092.61,2108.66,2118.79,2088.73,57621243.0,hs300
282,2014-03-12,2102.8,2114.13,2130.59,2090.76,70069747.0,hs300
283,2014-03-13,2119.55,2140.33,2149.44,2115.99,69226028.0,hs300
284,2014-03-14,2129.87,2122.84,2140.38,2109.57,58617737.0,hs300
285,2014-03-17,2132.79,2143.04,2143.2,2118.95,52409445.0,hs300
286,2014-03-18,2146.12,2138.13,2152.46,2134.92,55354132.0,hs300
287,2014-03-19,2131.28,2120.87,2131.28,2101.28,59303905.0,hs300
288,2014-03-20,2116.19,2086.97,2134.79,2086.5,67631285.0,hs300
289,2014-03-21,2079.87,2158.8,2163.23,2077.76,104024807.0,hs300
290,2014-03-24,2161.9,2176.55,2186.73,2150.87,104491984.0,hs300
291,2014-03-25,2170.78,2174.44,2191.49,2164.67,86877510.0,hs300
292,2014-03-26,2181.23,2171.05,2186.08,2165.22,58276176.0,hs300
293,2014-03-27,2168.34,2155.71,2186.89,2146.92,71275132.0,hs300
294,2014-03-28,2154.51,2151.97,2172.67,2144.58,70086073.0,hs300
295,2014-03-31,2156.05,2146.3,2165.25,2134.42,55457488.0,hs300
296,2014-04-01,2143.72,2163.11,2170.09,2141.15,48866403.0,hs300
297,2014-04-02,2166.07,2180.73,2182.68,2164.01,65039257.0,hs300
298,2014-04-03,2188.64,2165.01,2196.14,2160.75,71536032.0,hs300
299,2014-04-04,2157.98,2185.47,2186.15,2155.28,47945888.0,hs300
300,2014-04-08,2179.92,2237.32,2243.97,2178.91,97219117.0,hs300
301,2014-04-09,2239.79,2238.62,2246.79,2228.99,66357268.0,hs300
302,2014-04-10,2241.45,2273.76,2290.74,2229.51,114545405.0,hs300
303,2014-04-11,2269.56,2270.67,2281.1,2261.13,90615897.0,hs300
304,2014-04-14,2267.94,2268.61,2275.83,2255.46,62264998.0,hs300
305,2014-04-15,2261.41,2229.46,2261.47,2225.69,68218130.0,hs300
306,2014-04-16,2223.47,2232.53,2245.31,2221.15,51678010.0,hs300
307,2014-04-17,2238.78,2224.8,2241.62,2221.95,48333628.0,hs300
308,2014-04-18,2215.88,2224.48,2228.77,2203.05,50757995.0,hs300
309,2014-04-21,2209.94,2187.25,2231.71,2186.75,56278280.0,hs300
310,2014-04-22,2184.02,2196.79,2196.85,2165.07,57094694.0,hs300
311,2014-04-23,2191.23,2193.95,2205.59,2187.39,45075041.0,hs300
312,2014-04-24,2192.77,2190.47,2209.45,2186.76,45058911.0,hs300
313,2014-04-25,2195.81,2167.83,2201.71,2167.64,60245383.0,hs300
314,2014-04-28,2165.77,2134.97,2171.39,2132.7,60485187.0,hs300
315,2014-04-29,2134.41,2158.47,2159.38,2131.78,48204931.0,hs300
316,2014-04-30,2158.76,2158.66,2164.18,2153.12,45334624.0,hs300
317,2014-05-05,2152.59,2156.47,2161.7,2131.23,49344073.0,hs300
318,2014-05-06,2151.39,2157.33,2173.62,2150.11,48086519.0,hs300
319,2014-05-07,2151.47,2137.32,2153.72,2136.99,44607470.0,hs300
320,2014-05-08,2132.04,2135.5,2168.21,2128.32,48332452.0,hs300
321,2014-05-09,2138.84,2133.91,2141.56,2120.59,49181135.0,hs300
322,2014-05-12,2150.31,2180.05,2184.33,2139.48,83472560.0,hs300
323,2014-05-13,2180.06,2174.85,2185.05,2167.77,64912518.0,hs300
324,2014-05-14,2175.09,2172.37,2184.22,2169.0,48514206.0,hs300
325,2014-05-15,2169.28,2144.08,2171.45,2142.34,46734032.0,hs300
326,2014-05-16,2143.93,2145.95,2150.5,2132.19,42253197.0,hs300
327,2014-05-19,2139.36,2115.14,2139.36,2105.71,42893607.0,hs300
328,2014-05-20,2124.71,2115.77,2131.57,2110.72,37299683.0,hs300
329,2014-05-21,2106.76,2135.91,2136.1,2096.51,38946042.0,hs300
330,2014-05-22,2134.09,2130.87,2160.91,2128.86,46252736.0,hs300
331,2014-05-23,2130.77,2148.41,2148.58,2128.66,37623105.0,hs300
332,2014-05-26,2161.89,2155.98,2165.42,2147.45,39550656.0,hs300
333,2014-05-27,2154.4,2147.28,2160.03,2145.75,35897171.0,hs300
334,2014-05-28,2147.47,2169.35,2171.17,2142.01,50056260.0,hs300
335,2014-05-29,2171.26,2155.16,2178.09,2154.93,44891556.0,hs300
336,2014-05-30,2156.38,2156.46,2166.91,2146.22,43923863.0,hs300
337,2014-06-03,2157.64,2149.92,2169.0,2149.29,41982954.0,hs300
338,2014-06-04,2149.41,2128.27,2149.45,2117.31,41817249.0,hs300
339,2014-06-05,2126.61,2150.6,2150.93,2123.52,36477424.0,hs300
340,2014-06-06,2149.21,2134.72,2149.78,2123.98,35738058.0,hs300
341,2014-06-09,2128.23,2134.28,2153.9,2126.67,39311060.0,hs300
342,2014-06-10,2138.67,2161.27,2161.53,2132.45,50507902.0,hs300
343,2014-06-11,2156.15,2160.77,2163.61,2152.08,42563718.0,hs300
344,2014-06-12,2156.76,2153.41,2160.99,2148.41,43025843.0,hs300
345,2014-06-13,2150.99,2176.24,2183.65,2150.57,59252876.0,hs300
